x,y
5.2,402.4
7.1,392.8
7.5,408.8125
10.38888889,416.5555556
11.4,386.5
11.61111111,398.5555556
13.5,408.6666667
13.5,421.8333333
15.72222222,428.5555556
17,382.1666667
17,388.1666667
17,394.1666667
17,400.1666667
19.5,405.125
19,412.5
19,418.5
21.5,423.375
20.5,432.0555556
23,383
23,389
23,395
24.5,434.8333333
25.21428571,400.4285714
25,407.1666667
25,413.1666667
27.35714286,419.7142857
27,426
29.22727273,385.0909091
29,393.5
30.5,432.4444444
29.5,439.9375
31.22727273,402.0909091
31,410.5
31.3,416.2
33.5,424.4444444
35.22727273,382.4545455
35,390.8333333
35.3,396.6
36.5,435.1111111
35.5,442.4444444
37.4,405.2
37,413
37,419
39.5,427.5555556
41.4,378.8
41,386.6666667
41,392.6666667
41,398.6666667
42.22727273,438.7272727
42.3,444.8
43.22727273,408.0909091
43,416.5
43.3,422.2
45.5,429.7777778
47.22727273,375
47,383.5
47,389.5
47,395.5
47.3,401
48,440
49.22727273,409
49,417.5
49.3,423
51.25,430.375
53.1,369.6
53,377.5
53,383.5
53,389.5
53,395.5
53.3,401
54.1,439.1
54.05555556,694.7777778
54,702.3333333
53.64285714,708.7857143
55.2,409
55,417
55,423
55.27777778,714.9444444
57.38888889,362.5555556
57.27777778,429.4444444
57.25,688.875
59.27777778,371
59,378.6666667
59,384.6666667
59,390.6666667
59,396.6666667
59.3,402.2
60.25,356.75
59.94444444,436.1666667
60.22727273,697.9090909
60,706.5
60.4,721.1
61.05555556,409.5555556
61,417
61.3,422.6
61.35714286,713.1428571
62.22727273,684.4545455
63.16666667,349.5555556
63.5,428.4285714
65.22727273,362.8181818
65,371.3333333
65,377.3333333
65,383.3333333
65,389.3333333
65,395.3333333
65,401.3333333
66.16666667,342.6666667
66.07142857,434.4285714
66.4,692.8
66,700.8333333
66,706.8333333
66,723.375
67.5,406.25
67,413.6666667
67,419.6666667
67.35714286,713.1428571
67,719.5
68.5,355.3333333
67.83333333,680
68.5,686
69.4,335.6
69.3,426.5
70.5,729.2222222
71.5,348.5555556
71.22727273,367.1818182
71,375.6666667
71,381.6666667
71,387.6666667
71,393.6666667
71.3,399.4
72.375,328.375
72,432.0833333
72.4,674.8
72.4,692.8
72,700.6666667
72,706.6666667
73,405.625
73,412.8333333
73.3,418.2
73,712.6666667
73,718.6666667
73.5,723.5
74.5,356.5555556
74.21428571,683.8571429
75.3,336.8
75.3,344.6
75.6,426.1
76.27777778,323.1111111
76.22727273,731.5454545
77.3,364.7
77,372.8333333
77,378.8333333
77,384.8333333
77,390.8333333
77,396.8333333
78.1,668.6
78,676.5
78.1,692.6
78,700.5
78,706.5
79.38888889,349.2222222
79.27777778,403.4444444
79,411
79,417
79.1,715
79,723
80.38888889,316.5555556
80.38888889,329.2222222
80.25,683.625
81.2,339
81.5,357
81.3,423.8
79.5,429.3333333
82.4,661.7
82.3,728.5
82.3,734.9
83.5,309.75
84,322.3333333
