rounded_lat,rounded_long,rounded_date,astronomical_twilight_begin,nautical_twilight_begin,civil_twilight_begin,sunrise,solar_noon,sunset,civil_twilight_end,nautical_twilight_end,astronomical_twilight_end
40,-80,2022-08-28,32863,34969,36978,38573,62470,86367,1562,3571,5677
40,-90,2022-08-21,34713,36893,38952,40575,64985,2995,4618,6677,8857
40,-80,2022-08-14,31734,34000,36116,37772,62679,1185,2841,4957,7224
40,-90,2022-08-07,33540,35903,38081,39773,65145,4117,5810,7988,10351
30,-120,2022-08-07,42902,44810,46642,48099,72345,10191,11647,13479,15387
40,-100,2022-07-24,34745,37323,39633,41401,67592,7383,9151,11462,14040
40,-80,2022-07-17,29379,32067,34441,36246,62772,2898,4703,7077,9765
40,-70,2022-07-17,26977,29665,32040,33844,60372,500,2304,4679,7367
-30,150,2022-07-10,70259,72001,73777,75262,7520,26178,27663,29440,31182
40,-110,2022-07-10,36085,38871,41301,43135,69926,10318,12152,14582,17368
40,-70,2022-07-10,26478,29265,31695,33531,60326,720,2556,4986,7773
30,-110,2022-07-10,39124,41217,43183,44725,69926,8728,10270,12236,14329
30,-80,2022-07-03,31660,33783,35771,37327,62658,1589,3145,5133,7256
40,-120,2022-07-03,38079,40944,43417,45275,72259,12844,14702,17175,20039
30,80,2022-06-19,79348,81492,83495,85060,24079,49498,51064,53066,55211
40,-110,2022-06-05,35471,38303,40758,42607,69514,10021,11869,14325,17157
30,-120,2022-06-05,40996,43106,45085,46635,71914,10793,12343,14322,16433
30,-80,2022-05-29,31561,33636,35589,37123,62247,970,2504,4457,6532
40,-100,2022-05-22,33859,36496,38840,40627,67002,6976,8763,11108,13744
30,-120,2022-05-15,41736,43720,45607,47099,71781,10064,11556,13443,15427
40,-120,2022-05-15,39213,41739,44018,45768,71781,11395,13145,15424,17950
30,-120,2022-05-01,42585,44469,46283,47729,71823,9518,10963,12778,14662
40,-80,2022-04-24,31696,33916,36001,37639,62286,533,2171,4256,6475
30,-80,2022-04-17,34017,35812,37560,38963,62371,85779,782,2530,4325
50,-120,2022-04-17,39432,42294,44854,46820,71969,10719,12685,15245,18107
40,-90,2022-04-10,35633,37703,39688,41269,64874,2080,3661,5646,7715
20,-160,2022-04-03,55036,56602,58155,59417,81788,17760,19022,20575,22141
30,-110,2022-03-27,42871,44573,46255,47619,69916,5813,7177,8859,10561
30,-90,2022-03-27,38075,39778,41459,42823,65117,1011,2375,4056,5759
30,-90,2022-03-20,38619,40303,41973,43332,65243,754,2113,3783,5467
30,-110,2022-03-13,43938,45609,47273,48631,70162,5294,6652,8316,9987
30,-80,2022-03-06,37236,38901,40564,41925,63071,84217,85578,841,2506
30,-90,2022-02-27,40087,41750,43418,44787,65558,86330,1299,2966,4629
30,-120,2022-02-27,47282,48945,50613,51981,72757,7133,8502,10170,11833
30,-80,2022-02-27,37689,39352,41020,42388,63159,83929,85297,565,2228
40,-120,2022-02-13,48225,50112,52019,53602,72849,5697,7280,9187,11074
30,-120,2022-02-06,48323,50008,51713,53123,72844,6164,7574,9279,10964
50,-120,2022-01-30,49427,51700,54038,56029,72799,3168,5159,7498,9771
30,-80,2022-01-09,39143,40883,42656,44135,62832,81528,83007,84781,121
20,-100,2022-01-02,43032,44656,46300,47659,67449,840,2199,3842,5466
50,-120,2021-12-12,49850,52211,54695,56867,71637,7,2179,4664,7025
40,-120,2021-12-05,48617,50583,52609,54326,71450,2173,3890,5916,7882
40,-80,2021-11-14,37857,39777,41738,43384,61469,79555,81201,83162,85082
40,-70,2021-10-31,34619,36511,38428,40023,59016,78008,79603,81520,83412
30,-110,2021-10-31,43959,45639,47336,48738,68615,2093,3495,5192,6872
50,-100,2021-10-31,41970,44219,46508,48434,66215,83996,85923,1812,4061
40,-120,2021-10-24,46207,48090,49990,51564,71047,4130,5704,7604,9487
30,-100,2021-10-17,41029,42694,44365,45740,66314,489,1864,3535,5200
40,-90,2021-10-17,38581,40461,42349,43905,63915,83924,85481,968,2849
30,-120,2021-10-17,45831,47496,49168,50542,71114,5285,6660,8332,9997
40,-80,2021-10-17,36179,38060,39947,41503,61515,81527,83083,84970,451
30,-80,2021-10-03,35727,37393,39056,40416,61732,83049,84409,86072,1338
30,-80,2021-09-19,35221,36911,38586,39946,62017,84087,85448,722,2412
50,-120,2021-08-15,38199,41373,44094,46141,72262,11984,14031,16752,19926
40,-90,2021-08-08,33646,35992,38158,39844,65135,4027,5713,7879,10224
40,-110,2021-08-08,38451,40796,42962,44647,69935,8823,10508,12674,15019
40,-70,2021-08-01,28238,30688,32921,34645,60379,86113,1437,3670,6120
40,-70,2021-07-25,27641,30201,32501,34263,60393,123,1885,4185,6744
50,-120,2021-07-18,32622,38016,41435,43797,72378,14559,16921,20340,25734
40,-90,2021-07-11,31364,34134,36555,38385,65136,5487,7316,9738,12508
40,-80,2021-07-04,28537,31391,33858,35713,62671,3230,5085,7552,10405
40,-100,2021-06-20,32872,35798,38303,40179,67302,8025,9900,12406,15331
